date,product,category,quantity,price,region,salesperson
2024-09-12,Desk Accessories,Office Supplies,7,22.99,North,David Brown
2024-09-15,Modular Storage,Furniture,2,329.99,West,Alice Johnson
2024-09-18,Smart Speaker,Electronics,4,129.99,East,Bob Smith
2024-09-20,Desk Pad Pro,Office Supplies,5,28.99,South,Carol White
2024-09-22,Executive Workstation,Furniture,1,1699.99,North,David Brown
2024-09-25,USB-C Hub,Electronics,6,39.99,West,Alice Johnson
2024-09-28,Desk Organizer Deluxe,Office Supplies,4,34.99,East,Bob Smith
2024-10-01,Corner Office Desk,Furniture,1,999.99,South,Carol White
2024-10-03,Wireless Mouse Elite,Electronics,5,69.99,North,David Brown
2024-10-05,Desk Reference Set,Office Supplies,6,19.99,West,Alice Johnson
2024-10-08,Modular Workstation,Furniture,2,599.99,East,Bob Smith
2024-10-10,Smartphone Pro,Electronics,1,1099.99,South,Carol White
2024-10-12,Desk Essentials,Office Supplies,8,16.99,North,David Brown
2024-10-15,Executive Chair Pro,Furniture,1,799.99,West,Alice Johnson
2024-10-18,Tablet 12" Pro,Electronics,2,599.99,East,Bob Smith
2024-10-20,Desk Management Set,Office Supplies,5,27.99,South,Carol White
2024-10-22,Corner Workstation Pro,Furniture,1,849.99,North,David Brown
2024-10-25,Wireless Headphones Pro,Electronics,3,199.99,West,Alice Johnson
2024-10-28,Desk Organization System,Office Supplies,7,31.99,East,Bob Smith
2024-11-01,Executive Office Set,Furniture,1,1999.99,South,Carol White
2024-11-03,Smart Display Pro,Electronics,2,349.99,North,David Brown
2024-11-05,Desk Accessories Pro,Office Supplies,6,29.99,West,Alice Johnson
2024-11-08,Modular Desk Pro,Furniture,2,699.99,East,Bob Smith
2024-11-10,Wireless Earbuds Pro,Electronics,8,119.99,South,Carol White
2024-11-12,Desk Management Pro,Office Supplies,5,38.99,North,David Brown
2024-11-15,Corner Office Pro,Furniture,1,1299.99,West,Alice Johnson
2024-11-18,Smartphone Ultra,Electronics,1,1299.99,East,Bob Smith
2024-11-20,Desk Organization Pro,Office Supplies,4,42.99,South,Carol White
2024-11-22,Executive Workstation Pro,Furniture,1,1899.99,North,David Brown
2024-11-25,Tablet Ultra,Electronics,2,799.99,West,Alice Johnson
2024-11-28,Desk Essentials Pro,Office Supplies,6,35.99,East,Bob Smith
2024-12-01,Corner Workstation Ultra,Furniture,1,1499.99,South,Carol White
2024-12-03,Smart Display Ultra,Electronics,1,499.99,North,David Brown
2024-12-05,Desk Management Ultra,Office Supplies,5,44.99,West,Alice Johnson
2024-12-08,Executive Office Ultra,Furniture,1,2499.99,East,Bob Smith
2024-12-10,Wireless System Pro,Electronics,3,279.99,South,Carol White
2024-12-12,Desk Organization Ultra,Office Supplies,4,49.99,North,David Brown
2024-12-15,Modular Workstation Ultra,Furniture,1,1799.99,West,Alice Johnson
2024-12-18,Smartphone Max,Electronics,1,1499.99,East,Bob Smith
2024-12-20,Desk Accessories Ultra,Office Supplies,6,39.99,South,Carol White
2024-12-22,Executive Desk Ultra,Furniture,1,2999.99,North,David Brown
2024-12-25,Tablet Max,Electronics,2,999.99,West,Alice Johnson
2024-12-28,Desk Management Max,Office Supplies,5,54.99,East,Bob Smith

